date,newCasesBySpecimenDate,cumCasesBySpecimenDate,cumDeaths,newDeaths,Vac
30/01/2020,1,1,0,0,0
31/01/2020,0,1,0,0,0
01/02/2020,0,1,0,0,0
02/02/2020,1,2,1,1,0
03/02/2020,18,20,6,0,0
04/02/2020,0,20,6,0,0
05/02/2020,1,21,9,0,0
06/02/2020,0,21,14,0,0
07/02/2020,0,21,17,0,0
08/02/2020,3,24,25,0,0
09/02/2020,1,25,38,0,0
10/02/2020,1,26,54,0,0
11/02/2020,4,30,76,0,0
12/02/2020,1,31,108,0,0
13/02/2020,1,32,155,0,0
14/02/2020,0,32,207,0,0
15/02/2020,0,32,275,0,0
16/02/2020,0,32,348,0,0
17/02/2020,1,33,457,0,0
18/02/2020,0,33,587,0,0
19/02/2020,0,33,751,0,0
20/02/2020,0,33,937,0,0
21/02/2020,2,35,1174,0,0
22/02/2020,0,35,1477,1,0
23/02/2020,6,41,1839,0,0
24/02/2020,2,43,2237,0,0
25/02/2020,3,46,2673,0,0
26/02/2020,2,48,3179,0,0
27/02/2020,8,56,3768,0,0
28/02/2020,12,68,4430,0,0
29/02/2020,4,72,5199,0,0
01/03/2020,20,92,6005,0,0
02/03/2020,41,133,6845,1,0
03/03/2020,57,190,7752,0,0
04/03/2020,56,246,8669,1,0
05/03/2020,49,295,9564,2,0
06/03/2020,83,378,10562,2,0
07/03/2020,68,446,11638,0,0
08/03/2020,55,501,12641,2,0
09/03/2020,148,649,13585,5,0
10/03/2020,265,914,14541,3,0
11/03/2020,403,1317,15499,7,0
12/03/2020,484,1801,16395,13,0
13/03/2020,478,2279,17252,16,0
14/03/2020,352,2631,18130,21,0
15/03/2020,441,3072,18973,31,0
16/03/2020,602,3674,19792,51,0
17/03/2020,783,4457,20592,58,0
18/03/2020,981,5438,21362,73,0
19/03/2020,0,6480,22145,79,0
20/03/2020,0,7732,22890,118,0
21/03/2020,0,8913,23621,144,0
22/03/2020,0,10276,24299,183,0
23/03/2020,2290,12566,24982,208,0
24/03/2020,2354,14920,25629,263,0
25/03/2020,2666,17586,26262,337,0
26/03/2020,3039,20625,26857,413,0
27/03/2020,3154,23779,27416,463,0
28/03/2020,2774,26553,27989,516,0
29/03/2020,2818,29371,28540,586,0
30/03/2020,4195,33566,29108,711,0
31/03/2020,4463,38029,29602,831,0
01/04/2020,4891,42920,30052,924,0
02/04/2020,4824,47744,30536,1007,0
03/04/2020,4852,52596,31001,1061,0
04/04/2020,3976,56572,31461,1147,0
05/04/2020,3556,60128,31922,1220,0
06/04/2020,5273,65401,32306,1170,0
07/04/2020,5477,70878,32684,1293,0
08/04/2020,5146,76024,33032,1461,0
09/04/2020,4875,80899,33341,1375,0
10/04/2020,4327,85226,33662,1319,0
11/04/2020,3585,88811,33979,1365,0
12/04/2020,3507,92318,34313,1378,0
13/04/2020,4203,96521,34627,1232,0
14/04/2020,4335,100856,34941,1254,0
15/04/2020,5070,105926,35208,1276,0
16/04/2020,5292,111218,35501,1322,0
17/04/2020,4977,116195,35776,1272,0
18/04/2020,4743,120938,36044,1189,0
19/04/2020,3881,124819,36282,1122,0
20/04/2020,4441,129260,36505,1160,0
21/04/2020,4795,134055,36725,1085,0
22/04/2020,5517,139572,36922,1102,0
